satellite-25, p34-HC-pfile14.pddl, ref-adapted-search-ms-lr-cb-600, None
satellite-25, p35-HC-pfile15.pddl, ref-adapted-search-ms-lr-cb-600, None
satellite-25, p36-HC-pfile16.pddl, ref-adapted-search-ms-lr-cb-600, None
satellite-50, p29-HC-pfile9.pddl, ref-adapted-search-ms-lr-cb-600, None
satellite-50, p30-HC-pfile10.pddl, ref-adapted-search-ms-lr-cb-600, None
satellite-50, p31-HC-pfile11.pddl, ref-adapted-search-ms-lr-cb-600, None
satellite-50, p32-HC-pfile12.pddl, ref-adapted-search-ms-lr-cb-600, None
satellite-50, p33-HC-pfile13.pddl, ref-adapted-search-ms-lr-cb-600, None
satellite-50, p34-HC-pfile14.pddl, ref-adapted-search-ms-lr-cb-600, None
satellite-50, p35-HC-pfile15.pddl, ref-adapted-search-ms-lr-cb-600, None
satellite-50, p36-HC-pfile16.pddl, ref-adapted-search-ms-lr-cb-600, None
satellite-75, p29-HC-pfile9.pddl, ref-adapted-search-ms-lr-cb-600, None
satellite-75, p30-HC-pfile10.pddl, ref-adapted-search-ms-lr-cb-600, None
satellite-75, p31-HC-pfile11.pddl, ref-adapted-search-ms-lr-cb-600, None
satellite-75, p32-HC-pfile12.pddl, ref-adapted-search-ms-lr-cb-600, None
satellite-75, p33-HC-pfile13.pddl, ref-adapted-search-ms-lr-cb-600, None
satellite-75, p34-HC-pfile14.pddl, ref-adapted-search-ms-lr-cb-600, None
satellite-75, p35-HC-pfile15.pddl, ref-adapted-search-ms-lr-cb-600, None
satellite-75, p36-HC-pfile16.pddl, ref-adapted-search-ms-lr-cb-600, None
satellite-100, p29-HC-pfile9.pddl, ref-adapted-search-ms-lr-cb-600, None
satellite-100, p30-HC-pfile10.pddl, ref-adapted-search-ms-lr-cb-600, None
satellite-100, p31-HC-pfile11.pddl, ref-adapted-search-ms-lr-cb-600, None
satellite-100, p32-HC-pfile12.pddl, ref-adapted-search-ms-lr-cb-600, None
satellite-100, p33-HC-pfile13.pddl, ref-adapted-search-ms-lr-cb-600, None
satellite-100, p34-HC-pfile14.pddl, ref-adapted-search-ms-lr-cb-600, None
satellite-100, p35-HC-pfile15.pddl, ref-adapted-search-ms-lr-cb-600, None
satellite-100, p36-HC-pfile16.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-08-strips-25, p07.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-08-strips-25, p10.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-08-strips-25, p11.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-08-strips-25, p13.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-08-strips-25, p14.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-08-strips-25, p16.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-08-strips-25, p18.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-08-strips-25, p19.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-08-strips-25, p20.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-08-strips-25, p21.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-08-strips-25, p29.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-08-strips-25, p30.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-08-strips-50, p07.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-08-strips-50, p10.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-08-strips-50, p11.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-08-strips-50, p13.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-08-strips-50, p14.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-08-strips-50, p16.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-08-strips-50, p18.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-08-strips-50, p19.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-08-strips-50, p20.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-08-strips-50, p21.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-08-strips-50, p28.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-08-strips-50, p29.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-08-strips-50, p30.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-08-strips-75, p07.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-08-strips-75, p10.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-08-strips-75, p11.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-08-strips-75, p13.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-08-strips-75, p14.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-08-strips-75, p16.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-08-strips-75, p18.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-08-strips-75, p19.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-08-strips-75, p20.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-08-strips-75, p21.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-08-strips-75, p29.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-08-strips-75, p30.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-08-strips-100, p07.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-08-strips-100, p10.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-08-strips-100, p11.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-08-strips-100, p13.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-08-strips-100, p14.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-08-strips-100, p16.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-08-strips-100, p18.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-08-strips-100, p19.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-08-strips-100, p20.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-08-strips-100, p21.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-08-strips-100, p29.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-08-strips-100, p30.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-opt11-strips-25, p05.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-opt11-strips-25, p07.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-opt11-strips-25, p08.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-opt11-strips-25, p09.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-opt11-strips-25, p10.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-opt11-strips-25, p15.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-opt11-strips-25, p16.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-opt11-strips-25, p17.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-opt11-strips-25, p19.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-opt11-strips-50, p05.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-opt11-strips-50, p07.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-opt11-strips-50, p08.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-opt11-strips-50, p09.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-opt11-strips-50, p10.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-opt11-strips-50, p15.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-opt11-strips-50, p16.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-opt11-strips-50, p17.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-opt11-strips-50, p19.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-opt11-strips-75, p05.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-opt11-strips-75, p07.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-opt11-strips-75, p08.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-opt11-strips-75, p09.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-opt11-strips-75, p10.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-opt11-strips-75, p15.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-opt11-strips-75, p16.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-opt11-strips-75, p17.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-opt11-strips-75, p19.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-opt11-strips-100, p05.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-opt11-strips-100, p07.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-opt11-strips-100, p08.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-opt11-strips-100, p09.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-opt11-strips-100, p10.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-opt11-strips-100, p15.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-opt11-strips-100, p16.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-opt11-strips-100, p17.pddl, ref-adapted-search-ms-lr-cb-600, None
scanalyzer-opt11-strips-100, p19.pddl, ref-adapted-search-ms-lr-cb-600, None
storage-25, p21.pddl, ref-adapted-search-ms-lr-cb-600, None
tetris-opt14-strips-25, p03-8.pddl, ref-adapted-search-ms-lr-cb-600, None
tetris-opt14-strips-25, p03-10.pddl, ref-adapted-search-ms-lr-cb-600, None
tetris-opt14-strips-25, p04-10.pddl, ref-adapted-search-ms-lr-cb-600, None
tetris-opt14-strips-25, p05-8.pddl, ref-adapted-search-ms-lr-cb-600, None
tetris-opt14-strips-25, p05-10.pddl, ref-adapted-search-ms-lr-cb-600, None
tetris-opt14-strips-50, p03-8.pddl, ref-adapted-search-ms-lr-cb-600, None
tetris-opt14-strips-50, p03-10.pddl, ref-adapted-search-ms-lr-cb-600, None
tetris-opt14-strips-50, p04-10.pddl, ref-adapted-search-ms-lr-cb-600, None
tetris-opt14-strips-50, p05-8.pddl, ref-adapted-search-ms-lr-cb-600, None
tetris-opt14-strips-50, p05-10.pddl, ref-adapted-search-ms-lr-cb-600, None
tetris-opt14-strips-75, p03-8.pddl, ref-adapted-search-ms-lr-cb-600, None
tetris-opt14-strips-75, p03-10.pddl, ref-adapted-search-ms-lr-cb-600, None
tetris-opt14-strips-75, p04-10.pddl, ref-adapted-search-ms-lr-cb-600, None
tetris-opt14-strips-75, p05-8.pddl, ref-adapted-search-ms-lr-cb-600, None
tetris-opt14-strips-75, p05-10.pddl, ref-adapted-search-ms-lr-cb-600, None
tetris-opt14-strips-100, p03-8.pddl, ref-adapted-search-ms-lr-cb-600, None
tetris-opt14-strips-100, p03-10.pddl, ref-adapted-search-ms-lr-cb-600, None
tetris-opt14-strips-100, p04-10.pddl, ref-adapted-search-ms-lr-cb-600, None
tetris-opt14-strips-100, p05-8.pddl, ref-adapted-search-ms-lr-cb-600, None
tetris-opt14-strips-100, p05-10.pddl, ref-adapted-search-ms-lr-cb-600, None
transport-opt08-strips-25, p15.pddl, ref-adapted-search-ms-lr-cb-600, None
transport-opt08-strips-25, p28.pddl, ref-adapted-search-ms-lr-cb-600, None
transport-opt08-strips-25, p29.pddl, ref-adapted-search-ms-lr-cb-600, None
transport-opt08-strips-50, p05.pddl, ref-adapted-search-ms-lr-cb-600, None
transport-opt11-strips-25, p10.pddl, ref-adapted-search-ms-lr-cb-600, None
transport-opt11-strips-25, p12.pddl, ref-adapted-search-ms-lr-cb-600, None
transport-opt11-strips-25, p20.pddl, ref-adapted-search-ms-lr-cb-600, None
transport-opt11-strips-50, p17.pddl, ref-adapted-search-ms-lr-cb-600, None
transport-opt11-strips-75, p17.pddl, ref-adapted-search-ms-lr-cb-600, None
transport-opt11-strips-100, p17.pddl, ref-adapted-search-ms-lr-cb-600, None
transport-opt14-strips-50, p04.pddl, ref-adapted-search-ms-lr-cb-600, None
transport-opt14-strips-50, p08.pddl, ref-adapted-search-ms-lr-cb-600, None
transport-opt14-strips-50, p15.pddl, ref-adapted-search-ms-lr-cb-600, None
transport-opt14-strips-75, p15.pddl, ref-adapted-search-ms-lr-cb-600, None
transport-opt14-strips-100, p14.pddl, ref-adapted-search-ms-lr-cb-600, None
transport-opt14-strips-100, p15.pddl, ref-adapted-search-ms-lr-cb-600, None
woodworking-opt08-strips-50, p19.pddl, ref-adapted-search-ms-lr-cb-600, None
